Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1641.3327192923052
FDW14,OUT017,1367.0329097477309
NCN55,OUT010,572.2989720999664
FDQ58,OUT017,2474.8875576580867
FDY38,OUT027,5846.583091448908
FDH56,OUT046,1945.6561022091266
FDL48,OUT018,766.6146507577155
FDC48,OUT027,2162.913981736475
FDN33,OUT045,1518.97053783526
FDA36,OUT017,3103.0247140077554
FDT44,OUT017,1936.2685590737244
FDQ56,OUT045,1362.400057723364
NCC54,OUT019,572.5871927852813
FDU11,OUT049,2010.6905815900534
DRL59,OUT013,857.0529995336818
FDM24,OUT049,2451.4190320929947
FDI57,OUT045,3067.9186513104114
DRC12,OUT018,2947.5054052669757
NCM42,OUT027,2921.642322539053
FDA46,OUT010,507.80001105578197
FDA31,OUT013,2858.363999025141
NCJ31,OUT035,3879.0494606732614
FDG52,OUT046,783.0421708592927
NCL19,OUT019,287.5559060754673
FDS10,OUT035,3011.074041414372
FDX22,OUT010,564.1927490352922
NCF19,OUT035,757.7128673312748
NCE06,OUT046,2542.7265459606188
DRC27,OUT046,3906.2112322828975
FDE21,OUT035,1967.946464407035
NCR42,OUT019,131.202811489774
FDX51,OUT018,2964.160923935866
NCR06,OUT018,618.5878579932064
FDU31,OUT027,5846.583091448908
FDU59,OUT017,2540.9853522183826
FDR03,OUT027,5846.583091448908
FDS49,OUT027,2079.0166522269283
FDD48,OUT010,269.5012064894461
NCF18,OUT017,3037.7791727660533
NCD43,OUT027,2857.216159735281
NCD54,OUT018,2096.934948165258
FDY19,OUT010,270.2238698045668
NCY54,OUT017,2877.261211223139
NCL19,OUT018,2434.3535405069188
FDP23,OUT010,568.25381259453
FDC26,OUT013,1734.9254977951682
FDR14,OUT010,131.202811489774
NCS41,OUT035,3114.9866790422993
FDF41,OUT035,3890.5172960927357
FDU34,OUT046,2045.9914875006593
DRH11,OUT046,946.5332963263598
FDM03,OUT013,1648.7012731184461
FDS31,OUT017,3062.7828226857873
FDJ20,OUT017,1994.3993797002738
FDV44,OUT027,5191.708140119402
FDG02,OUT049,3109.553273291294
FDA09,OUT013,3006.0577721791515
FDT04,OUT013,705.682083348849
FDL58,OUT019,570.3623153560832
FDE52,OUT045,1382.9394737015232
FDW12,OUT035,2484.163309988085
FDL51,OUT017,3676.6587768496474
NCY42,OUT027,3021.6436514549127
FDR07,OUT017,1542.5605487773605
FDN40,OUT045,2465.0108396046094
FDB35,OUT027,2707.749660590842
FDA22,OUT017,2536.886183500754
NCL06,OUT046,4119.812030610426
FDI35,OUT013,3067.4382750703503
NCW42,OUT045,3733.1641872735154
NCX06,OUT049,2997.180157905414
FDC37,OUT027,2901.0932525817725
FDZ14,OUT018,1940.919353194892
DRG49,OUT049,3878.7123974879
NCG06,OUT045,4076.2455644230185
DRC36,OUT045,2884.3273977561666
FDV21,OUT019,281.0353240240228
FDB53,OUT046,2503.7755450359996
DRP47,OUT019,570.523632493868
FDA14,OUT013,2457.0180349858247
DRC24,OUT035,2544.828419011456
FDW21,OUT018,1614.1178188544425
NCH29,OUT046,1546.2966657972966
FDU58,OUT013,3090.115223187367
FDY27,OUT017,2882.3281886756067
FDV56,OUT035,1654.9310579467979
FDT59,OUT046,3818.385642067401
FDB23,OUT046,3757.157089205066
FDR49,OUT045,759.3600607411131
FDB03,OUT010,572.9663541489729
FDN39,OUT045,2629.5253925065563
FDX02,OUT027,5848.506946303574
FDQ16,OUT027,2899.692662779765
FDU35,OUT018,1551.1252024436517
NCT29,OUT013,2016.7202499207401
FDZ27,OUT046,784.0557601177878
FDN57,OUT017,2026.7986388912022
FDA03,OUT018,2431.16446082636
FDZ36,OUT045,3127.3691178318254
NCU05,OUT013,1409.044337193725
FDT39,OUT018,2390.1365470443625
FDK60,OUT017,1542.3435652416517
FDZ25,OUT017,2801.7348438199365
FDG12,OUT046,2077.7093256528915
DRB01,OUT019,501.77172969339523
NCC43,OUT027,5846.583091448908
FDX13,OUT019,567.8293129383865
FDM22,OUT049,866.8564112911154
FDJ03,OUT027,1096.576956563354
FDU14,OUT018,3806.3874833809837
FDB33,OUT010,381.8763687444906
FDP27,OUT046,3117.9249578640224
FDO38,OUT010,161.67026560919362
FDE28,OUT027,5846.583091448908
FDO27,OUT035,1518.97053783526
DRL23,OUT027,2894.024711842887
FDS28,OUT046,944.7525565451011
FDX24,OUT013,1468.6848816379495
FDZ02,OUT035,1542.0301069113862
FDL46,OUT045,1924.133180801134
FDS60,OUT027,4772.403675569419
NCO06,OUT017,592.5354396355622
FDO16,OUT035,1356.2008242783518
FDC60,OUT049,1367.2722583666493
FDA48,OUT018,3437.352876330079
FDZ36,OUT027,5183.40585439778
FDK27,OUT045,2041.7669450972774
FDW23,OUT018,607.9508492155368
FDM14,OUT018,1679.9728843027904
FDM14,OUT013,1650.2587494849195
FDW60,OUT018,2810.6304279720853
FDE21,OUT013,1987.7266707202632
NCM42,OUT035,1655.8298690541858
FDY59,OUT010,229.5418235551376
DRI49,OUT049,1313.0047373997193
FDT28,OUT019,365.8742475221524
FDQ22,OUT018,608.7937900197065
FDR60,OUT049,1280.702019727609
FDC50,OUT019,235.72456104228166
FDV24,OUT013,2406.1429447689247
DRF48,OUT010,492.0117913979162
FDQ47,OUT046,629.8870057282951
DRN36,OUT049,1537.653433342383
NCY06,OUT035,2010.5823879920279
FDE52,OUT035,1382.3200729079533
NCB54,OUT045,2003.8526688765944
NCF31,OUT035,2492.9310594360404
FDJ08,OUT027,5201.583465127281
NCC07,OUT017,1647.2005848168606
NCD19,OUT027,1264.8899502379522
FDL46,OUT049,1985.3258360834789
FDM20,OUT045,3999.0354512621684
NCI06,OUT010,450.9933709762339
DRM11,OUT035,4205.533497568938
NCH07,OUT018,2488.532508497195
FDS23,OUT013,2030.510553306841
FDO49,OUT018,765.4641335574582
FDS35,OUT049,1061.9820582411312
DRK39,OUT045,1334.7095570540487
DRI39,OUT049,900.462805728084
FDV04,OUT017,2517.6065990472152
NCN14,OUT035,3069.392259624703
FDH08,OUT013,3741.3948872611163
FDS20,OUT046,3146.1004139922356
FDV40,OUT049,1143.088361894328
FDZ48,OUT010,261.33654106563625
FDS24,OUT027,2568.910721882748
FDK44,OUT049,2867.9923592311384
FDS48,OUT045,2528.2338946846735
FDK26,OUT010,495.18185799772647
FDD23,OUT045,3109.929406166989
NCH54,OUT017,2600.808625420407
NCP14,OUT010,242.17407781534817
FDM60,OUT010,131.202811489774
FDV24,OUT017,2451.6066410162875
FDH08,OUT018,3522.6185383304564
FDS12,OUT027,2986.2956079225432
FDR39,OUT027,4840.217652951455
FDP12,OUT027,1022.82359822631
DRF60,OUT027,5848.506946303574
FDC09,OUT035,1646.3583936506727
FDF50,OUT018,2980.1743088574
FDG28,OUT035,4003.8790677716725
NCE19,OUT017,870.1048254150602
NCM53,OUT010,253.59142686243166
NCN18,OUT049,1716.2605530012236
FDF32,OUT035,3114.6913278516895
FDF11,OUT013,3944.843866536126
DRI59,OUT049,3757.293893238242
NCG54,OUT035,2803.936443175176
FDM44,OUT046,1638.1467079131096
FDT57,OUT018,3617.7864199935125
FDV24,OUT046,2448.9679752634866
FDI50,OUT019,569.8447091934562
FDS09,OUT035,770.8500985841478
NCC31,OUT027,4107.155452277786
FDQ07,OUT019,572.5390287489379
FDC22,OUT017,3119.831053565263
FDZ56,OUT046,2794.095634514576
FDZ40,OUT019,131.202811489774
FDS46,OUT027,2953.4107897635668
DRD24,OUT045,2051.944198986362
FDV45,OUT017,3077.6397627776037
FDL26,OUT045,2536.4310244462936
FDA56,OUT018,1989.45197352594
FDN27,OUT046,1979.7292095992682
FDM20,OUT049,3962.90425257928
FDO16,OUT017,1334.4338229867105
FDL03,OUT035,3023.9643627765267
FDE58,OUT046,1963.1675134543975
FDI02,OUT027,2941.9404482958153
NCC55,OUT019,131.202811489774
FDR03,OUT018,3230.4075514575093
FDB14,OUT017,1452.1639166759182
FDR45,OUT013,3948.413294083648
NCN07,OUT017,2031.8469127592384
FDM51,OUT019,247.2832289314222
FDT52,OUT027,5846.583091448908
FDL26,OUT046,2514.220086848285
NCZ42,OUT046,3920.0132639288
DRI47,OUT019,366.4423977614281
FDW40,OUT013,2078.9941831090923
FDN34,OUT046,2790.794149621325
FDS01,OUT035,2949.4336762813537
NCG55,OUT045,1935.9332071734427
FDC11,OUT035,1362.763350913357
FDX35,OUT018,3484.4696702573547
NCB06,OUT046,2588.1018345886337
FDR09,OUT019,570.5717965302116
FDC53,OUT017,1544.0321583472876
FDY45,OUT013,4130.87153941063
FDA22,OUT010,383.373110170895
FDE02,OUT035,1516.3041598116115
FDW21,OUT045,1632.0986767342524
FDV34,OUT046,1173.3040222737209
FDS59,OUT049,1651.0589369098868
NCW17,OUT017,2055.7444051934335
NCK54,OUT046,1975.3954275628907
FDG17,OUT019,569.8447091934562
FDG35,OUT017,2879.6317357725125
FDD08,OUT010,131.202811489774
NCO07,OUT017,3637.76752339228
FDJ10,OUT010,280.42685806384156
FDW36,OUT017,1644.1874777022877
FDW21,OUT010,240.19991772258268
FDY19,OUT017,1937.109087749585
DRE03,OUT013,820.675320298192
NCC55,OUT049,636.130681190516
FDH52,OUT010,135.7358284334752
FDO09,OUT017,4052.0172886394175
FDU43,OUT045,3973.2927638610813
FDX09,OUT010,422.819591677498
FDH40,OUT019,197.3630045878044
FDW58,OUT017,1642.9746816182565
FDC47,OUT017,3780.799056530784
NCR41,OUT035,1497.2027029732171
DRG49,OUT035,3926.619714619754
FDC52,OUT027,4084.65401751386
FDY13,OUT046,1185.7233242521938
FDY35,OUT013,720.522329782008
FDI35,OUT017,3112.849754289059
NCU18,OUT049,2081.723978728732
FDY33,OUT018,2497.12221692661
FDC15,OUT027,4209.184835442586
FDU01,OUT049,3072.4488008830585
NCU42,OUT046,2799.8995438634242
NCV29,OUT018,2813.1592095131996
NCY30,OUT017,3049.6716794972062
FDQ46,OUT049,1730.3590082748665
FDG58,OUT027,4107.155452277786
FDK33,OUT017,3640.22528034436
NCD07,OUT045,1916.382249238686
NCX29,OUT027,4020.2601662843317
NCT42,OUT013,2413.720876420761
DRN59,OUT035,755.303181074345
FDI44,OUT035,1284.329964473904
FDA45,OUT049,2853.0808912004304
FDP31,OUT045,1056.069670476232
FDY01,OUT046,1954.6881500171328
FDT09,OUT018,2017.3169440343086
DRH03,OUT027,2828.649508995358
FDA36,OUT018,2988.7880837580574
NCF31,OUT017,2475.350757513939
FDG14,OUT049,2464.7115997433207
FDG28,OUT027,5846.583091448908
FDU14,OUT049,4110.814770824353
FDY47,OUT019,285.03270987959763
FDI56,OUT049,1384.5871064935889
DRD01,OUT013,1015.5196390954698
FDM22,OUT046,941.6004778529648
FDH33,OUT013,716.4057603420241
DRZ24,OUT013,1952.1165340311552
NCQ38,OUT046,1645.4296676796503
FDO16,OUT027,2338.8902568415815
FDU07,OUT027,4059.568434689893
