Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1582.0267554002567
FDW14,OUT017,1463.3723377297488
NCN55,OUT010,571.7244101799187
FDQ58,OUT017,2499.6878995953134
FDY38,OUT027,5843.121665623549
FDH56,OUT046,1954.212795402566
FDL48,OUT018,745.3614231313642
FDC48,OUT027,2060.8460553833206
FDN33,OUT045,1529.7425809370816
FDA36,OUT017,3052.609060572204
FDT44,OUT017,1967.5275793533322
FDQ56,OUT045,1441.1279658742708
NCC54,OUT019,571.9725022576043
FDU11,OUT049,2018.0237471059152
DRL59,OUT013,817.8816870198133
FDM24,OUT049,2474.9535972484723
FDI57,OUT045,3111.35449000793
DRC12,OUT018,3050.6549048163697
NCM42,OUT027,2915.1393483983097
FDA46,OUT010,511.0415455516962
FDA31,OUT013,2861.0140224202805
NCJ31,OUT035,3858.5962741935546
FDG52,OUT046,743.223426856943
NCL19,OUT019,288.7842815354496
FDS10,OUT035,2997.5390407320297
FDX22,OUT010,565.5480801617232
NCF19,OUT035,741.5233156030833
NCE06,OUT046,2556.5131891063447
DRC27,OUT046,3867.0362972833987
FDE21,OUT035,1954.212795402566
NCR42,OUT019,132.16764949896017
FDX51,OUT018,3050.6549048163697
NCR06,OUT018,672.8977440870453
FDU31,OUT027,5848.4550898159005
FDU59,OUT017,2563.1094434377264
FDR03,OUT027,5843.121665623549
FDS49,OUT027,1991.730166480726
FDD48,OUT010,265.15521108452157
NCF18,OUT017,3052.609060572204
NCD43,OUT027,2866.7604691370293
NCD54,OUT018,2123.374421780816
FDY19,OUT010,265.9246468623923
NCY54,OUT017,2861.0140224202805
NCL19,OUT018,2459.6752778213367
FDP23,OUT010,567.502116001787
FDC26,OUT013,1692.8930867705649
FDR14,OUT010,132.16764949896017
NCS41,OUT035,3052.609060572204
FDF41,OUT035,3884.435369689166
FDU34,OUT046,2020.7466921438256
DRH11,OUT046,958.0119401443219
FDM03,OUT013,1582.0267554002567
FDS31,OUT017,2997.5390407320297
FDJ20,OUT017,2018.0237471059152
FDV44,OUT027,5098.535402289442
FDG02,OUT049,3052.609060572204
FDA09,OUT013,2973.5760786275678
FDT04,OUT013,703.9628257362325
FDL58,OUT019,571.8451322025406
FDE52,OUT045,1501.9629952010184
FDW12,OUT035,2459.6752778213367
FDL51,OUT017,3660.2120906747145
NCY42,OUT027,3019.294116580413
FDR07,OUT017,1529.7425809370816
FDN40,OUT045,2488.180247260447
FDB35,OUT027,2740.7083774623406
FDA22,OUT017,2563.1094434377264
NCL06,OUT046,4064.502181605585
FDI35,OUT013,2997.5390407320297
NCW42,OUT045,3727.262204757962
NCX06,OUT049,2980.5194920072686
FDC37,OUT027,2900.7461848865005
FDZ14,OUT018,2018.0237471059152
DRG49,OUT049,3859.294299320028
NCG06,OUT045,4029.2445441409377
DRC36,OUT045,2861.0140224202805
FDV21,OUT019,281.8699880126985
FDB53,OUT046,2470.9233379091547
DRP47,OUT019,569.3164826408706
FDA14,OUT013,2464.762903961687
DRC24,OUT035,2488.180247260447
FDW21,OUT018,1562.5023221809329
NCH29,OUT046,1529.7425809370816
FDU58,OUT013,3052.609060572204
FDY27,OUT017,2888.288376403869
FDV56,OUT035,1583.9262098440627
FDT59,OUT046,3819.5067706511736
FDB23,OUT046,3752.6869629251796
FDR49,OUT045,738.3292928679068
FDB03,OUT010,571.9725022576043
FDN39,OUT045,2563.1094434377264
FDX02,OUT027,5843.121665623549
FDQ16,OUT027,2897.669892841129
FDU35,OUT018,1534.7568688105512
NCT29,OUT013,2018.0237471059152
FDZ27,OUT046,743.223426856943
FDN57,OUT017,2036.1028320704372
FDA03,OUT018,2468.6648791541766
FDZ36,OUT045,3052.609060572204
NCU05,OUT013,1440.8555973629655
FDT39,OUT018,2473.0132271556568
FDK60,OUT017,1529.7425809370816
FDZ25,OUT017,2744.2386199967586
FDG12,OUT046,2018.0237471059152
DRB01,OUT019,507.8069646575336
NCC43,OUT027,5848.4550898159005
FDX13,OUT019,568.2381161184438
FDM22,OUT049,876.6969522721533
FDJ03,OUT027,1073.8585000685127
FDU14,OUT018,3831.981767727798
FDB33,OUT010,382.46749508971703
FDP27,OUT046,3052.609060572204
FDO38,OUT010,159.50110562212777
FDE28,OUT027,5848.4550898159005
FDO27,OUT035,1529.7425809370816
DRL23,OUT027,2894.742780136713
FDS28,OUT046,956.4450651271202
FDX24,OUT013,1542.1507916275418
FDZ02,OUT035,1529.7425809370816
FDL46,OUT045,1954.212795402566
FDS60,OUT027,4762.729379361154
NCO06,OUT017,663.6984148862413
FDO16,OUT035,1430.4604535758563
FDC60,OUT049,1469.200863700985
FDA48,OUT018,3518.2407591648803
FDZ36,OUT027,5090.700779839243
FDK27,OUT045,2015.1472747656887
FDW23,OUT018,668.9163492885833
FDM14,OUT018,1657.728353770769
FDM14,OUT013,1582.0267554002567
FDW60,OUT018,2886.3342206480347
FDE21,OUT013,1954.212795402566
NCM42,OUT035,1583.9262098440627
FDY59,OUT010,228.26159284210902
DRI49,OUT049,1344.9458412761837
FDT28,OUT019,366.79612828064853
FDQ22,OUT018,670.7381562961534
FDR60,OUT049,1288.4663873351117
FDC50,OUT019,238.04348002306398
FDV24,OUT013,2474.9535972484723
DRF48,OUT010,487.9576417267756
FDQ47,OUT046,666.037817511453
DRN36,OUT049,1529.7425809370816
NCY06,OUT035,2025.6276144249973
FDE52,OUT035,1501.9629952010184
NCB54,OUT045,2025.6276144249973
NCF31,OUT035,2488.180247260447
FDJ08,OUT027,5116.398926304013
NCC07,OUT017,1577.0978059149652
NCD19,OUT027,1241.5476099536447
FDL46,OUT049,1977.5478318816342
FDM20,OUT045,3905.541981013623
NCI06,OUT010,439.1834741725263
DRM11,OUT035,4073.999880344707
